Time,Distance,Desired_Roll,Actual_Roll,Pitch,Speed,Heading,Bearing
1744911837.1612182,135.84468581561924,-7.173057301383778,-6.588080308276956,-5.778535852190804,8.732022285461426,68,60.82694269861622
1744911837.2122056,133.61238538056563,-7.030384244186564,-6.460415534952954,-5.778677282091928,8.720219612121582,68,60.969615755813436
1744911837.2630374,133.61238538056563,-7.030384244186564,-6.460415534952954,-5.778677282091928,8.720219612121582,68,60.969615755813436
1744911837.3141422,133.61238538056563,-7.030384244186564,-6.460415534952954,-5.778677282091928,8.720219612121582,68,60.969615755813436
1744911837.3652563,133.61238538056563,-7.030384244186564,-6.460415534952954,-5.778677282091928,8.720219612121582,68,60.969615755813436
1744911837.4165084,131.5664923769821,-6.899124509551029,-6.345839111625991,-5.778787250277352,8.625299453735352,68,61.10087549044897
1744911837.4674044,131.5664923769821,-6.899124509551029,-6.345839111625991,-5.778787250277352,8.625299453735352,68,61.10087549044897
1744911837.518563,131.5664923769821,-6.899124509551029,-6.345839111625991,-5.778787250277352,8.625299453735352,68,61.10087549044897
1744911837.5696654,131.5664923769821,-6.899124509551029,-6.345839111625991,-5.778787250277352,8.625299453735352,68,61.10087549044897
1744911837.6209176,131.5664923769821,-6.899124509551029,-6.345839111625991,-5.778787250277352,8.625299453735352,68,61.10087549044897
1744911837.6717987,131.5664923769821,-6.899124509551029,-6.345839111625991,-5.778787250277352,8.625299453735352,68,61.10087549044897
1744911837.7226195,129.33328430518134,-7.75324912593004,-6.1941009096854565,-5.778878583666635,8.597564697265625,69,61.24675087406996
1744911837.7735047,129.33328430518134,-7.75324912593004,-6.1941009096854565,-5.778878583666635,8.597564697265625,69,61.24675087406996
1744911837.8245876,129.33328430518134,-7.75324912593004,-6.1941009096854565,-5.778878583666635,8.597564697265625,69,61.24675087406996
1744911837.8761263,129.33328430518134,-7.75324912593004,-6.1941009096854565,-5.778878583666635,8.597564697265625,69,61.24675087406996
1744911837.927021,127.25981034059144,-7.6145689360727715,-6.210358040570556,-5.777873481509042,8.593717575073242,69,61.38543106392723
1744911837.977943,127.25981034059144,-7.6145689360727715,-6.210358040570556,-5.777873481509042,8.593717575073242,69,61.38543106392723
1744911838.029182,127.25981034059144,-7.6145689360727715,-6.210358040570556,-5.777873481509042,8.593717575073242,69,61.38543106392723
1744911838.0805528,127.25981034059144,-7.6145689360727715,-6.210358040570556,-5.777873481509042,8.593717575073242,69,61.38543106392723
1744911838.1315963,127.25981034059144,-7.6145689360727715,-6.210358040570556,-5.777873481509042,8.593717575073242,69,61.38543106392723
1744911838.1832259,125.0018667425571,-7.470956547003311,-6.828486745362126,-5.778835582491707,8.675924301147461,69,61.52904345299669
1744911838.2340868,125.0018667425571,-7.470956547003311,-6.828486745362126,-5.778835582491707,8.675924301147461,69,61.52904345299669
1744911838.2849092,125.0018667425571,-7.470956547003311,-6.828486745362126,-5.778835582491707,8.675924301147461,69,61.52904345299669
1744911838.3359163,125.0018667425571,-7.470956547003311,-6.828486745362126,-5.778835582491707,8.675924301147461,69,61.52904345299669
1744911838.3865144,125.0018667425571,-7.470956547003311,-6.828486745362126,-5.778835582491707,8.675924301147461,69,61.52904345299669
1744911838.437366,122.92202877687075,-7.324627628112921,-6.943588239481534,-5.779794355151009,8.708954811096191,69,61.67537237188708
1744911838.4884405,122.92202877687075,-7.324627628112921,-6.943588239481534,-5.779794355151009,8.708954811096191,69,61.67537237188708
1744911838.5393324,122.92202877687075,-7.324627628112921,-6.943588239481534,-5.779794355151009,8.708954811096191,69,61.67537237188708
1744911838.5901482,122.92202877687075,-7.324627628112921,-6.943588239481534,-5.779794355151009,8.708954811096191,69,61.67537237188708
1744911838.640929,122.92202877687075,-7.324627628112921,-6.943588239481534,-5.779794355151009,8.708954811096191,69,61.67537237188708
1744911838.6920443,120.68690905613978,-7.171037714231545,-6.641008724815854,-5.7788319013088465,8.765881538391113,69,61.828962285768455
1744911838.743113,120.68690905613978,-7.171037714231545,-6.641008724815854,-5.7788319013088465,8.765881538391113,69,61.828962285768455
1744911838.794213,120.68690905613978,-7.171037714231545,-6.641008724815854,-5.7788319013088465,8.765881538391113,69,61.828962285768455
1744911838.8453262,120.68690905613978,-7.171037714231545,-6.641008724815854,-5.7788319013088465,8.765881538391113,69,61.828962285768455
1744911838.896011,120.68690905613978,-7.171037714231545,-6.641008724815854,-5.7788319013088465,8.765881538391113,69,61.828962285768455
1744911838.9467485,118.63242713497951,-7.026305424506745,-6.420760310405506,-5.778934297320199,8.682417869567871,69,61.973694575493255
1744911838.9973714,118.63242713497951,-7.026305424506745,-6.420760310405506,-5.778934297320199,8.682417869567871,69,61.973694575493255
1744911839.0481722,118.63242713497951,-7.026305424506745,-6.420760310405506,-5.778934297320199,8.682417869567871,69,61.973694575493255
1744911839.0990567,118.63242713497951,-7.026305424506745,-6.420760310405506,-5.778934297320199,8.682417869567871,69,61.973694575493255
1744911839.150268,118.63242713497951,-7.026305424506745,-6.420760310405506,-5.778934297320199,8.682417869567871,69,61.973694575493255
1744911839.2012396,116.41224857693086,-6.8640927104923435,-6.307911924938556,-5.77903828596766,8.680891036987305,69,62.13590728950766
1744911839.2519948,116.41224857693086,-6.8640927104923435,-6.307911924938556,-5.77903828596766,8.680891036987305,69,62.13590728950766
1744911839.3029375,116.41224857693086,-6.8640927104923435,-6.307911924938556,-5.77903828596766,8.680891036987305,69,62.13590728950766
1744911839.3542192,116.41224857693086,-6.8640927104923435,-6.307911924938556,-5.77903828596766,8.680891036987305,69,62.13590728950766
1744911839.4051676,116.41224857693086,-6.8640927104923435,-6.307911924938556,-5.77903828596766,8.680891036987305,69,62.13590728950766
1744911839.4561634,114.37260750191706,-7.7112687042069865,-6.201328103600976,-5.778110450503182,8.735471725463867,70,62.28873129579301
1744911839.5070162,114.37260750191706,-7.7112687042069865,-6.201328103600976,-5.778110450503182,8.735471725463867,70,62.28873129579301
1744911839.5578187,114.37260750191706,-7.7112687042069865,-6.201328103600976,-5.778110450503182,8.735471725463867,70,62.28873129579301
1744911839.6089172,114.37260750191706,-7.7112687042069865,-6.201328103600976,-5.778110450503182,8.735471725463867,70,62.28873129579301
