Time,Distance,Bank,Error_Distance,Heading_Error,Tangent_Direction,Speed,Circle_Direction,Heading,Bearing_to_Plane
1745437276.4897566,66.86462267111371,11.952124640221431,-8.135377328886293,177.6821915931082,243.6821915931082,9.295559883117676,CCW,66,153.6821915931082
1745437276.5404558,66.86462267111371,-0.6335127518449983,-8.135377328886293,177.6821915931082,243.6821915931082,9.295559883117676,CCW,66,153.6821915931082
1745437276.591174,66.86462267111371,-9.443458926291498,-8.135377328886293,177.6821915931082,243.6821915931082,9.295559883117676,CCW,66,153.6821915931082
1745437276.641915,66.86462267111371,-15.610421248404048,-8.135377328886293,177.6821915931082,243.6821915931082,9.295559883117676,CCW,66,153.6821915931082
1745437276.6924052,66.86462267111371,-19.927294873882833,-8.135377328886293,177.6821915931082,243.6821915931082,9.295559883117676,CCW,66,153.6821915931082
1745437276.7431269,66.81596316198606,-22.949106411717985,-8.184036838013938,169.80660226139833,241.80660226139833,9.203812599182129,CCW,72,151.80660226139833
1745437276.7937062,66.81596316198606,-25.06437448820259,-8.184036838013938,169.80660226139833,241.80660226139833,9.203812599182129,CCW,72,151.80660226139833
1745437276.8443937,66.81596316198606,-26.54506214174181,-8.184036838013938,169.80660226139833,241.80660226139833,9.203812599182129,CCW,72,151.80660226139833
1745437276.8950698,66.81596316198606,-27.581543499219265,-8.184036838013938,169.80660226139833,241.80660226139833,9.203812599182129,CCW,72,151.80660226139833
1745437276.9458292,66.81596316198606,-28.307080449453483,-8.184036838013938,169.80660226139833,241.80660226139833,9.203812599182129,CCW,72,151.80660226139833
1745437276.9968922,67.08475363744552,-28.814956314617437,-7.915246362554484,159.75769660765195,239.75769660765195,9.308287620544434,CCW,80,149.75769660765195
1745437277.047649,67.08475363744552,-29.170469420232205,-7.915246362554484,159.75769660765195,239.75769660765195,9.308287620544434,CCW,80,149.75769660765195
1745437277.0983336,67.08475363744552,-29.419328594162543,-7.915246362554484,159.75769660765195,239.75769660765195,9.308287620544434,CCW,80,149.75769660765195
1745437277.1491907,67.08475363744552,-29.593530015913778,-7.915246362554484,159.75769660765195,239.75769660765195,9.308287620544434,CCW,80,149.75769660765195
1745437277.200166,67.08475363744552,-29.715471011139645,-7.915246362554484,159.75769660765195,239.75769660765195,9.308287620544434,CCW,80,149.75769660765195
